# run 1000ns
ActiveSide=00 | Timer=0 | Emer=0000 | Traf=0000 | Lights(G Y R) S1:100 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=0 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:100 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=1 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:100 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=2 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:100 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=3 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:100 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=4 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:100 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=5 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:100 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=6 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:100 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=7 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:100 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=8 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:100 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=9 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:100 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=10 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:100 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=11 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:010 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=12 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:010 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=13 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:010 S2:001 S3:001 S4:001
ActiveSide=00 | Timer=14 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:010 S2:001 S3:001 S4:001
ActiveSide=01 | Timer=0 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:001 S2:100 S3:001 S4:001
ActiveSide=01 | Timer=1 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:001 S2:100 S3:001 S4:001
ActiveSide=01 | Timer=2 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:001 S2:100 S3:001 S4:001
ActiveSide=01 | Timer=3 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:001 S2:100 S3:001 S4:001
ActiveSide=01 | Timer=4 | Emer=0000 | Traf=1111 | Lights(G Y R) S1:001 S2:100 S3:001 S4:001
